,Date,Prcp
0,2016-08-23,0.0
1009,2016-08-23,
1529,2016-08-23,1.79
704,2016-08-23,0.05
361,2016-08-23,0.15
1881,2016-08-23,0.7
1192,2016-08-23,0.02
1,2016-08-24,0.08
1530,2016-08-24,2.15
705,2016-08-24,2.28
1010,2016-08-24,
1882,2016-08-24,1.45
1193,2016-08-24,1.22
362,2016-08-24,2.15
2,2016-08-25,0.08
706,2016-08-25,0.0
1194,2016-08-25,0.21
1531,2016-08-25,0.06
1011,2016-08-25,0.0
1883,2016-08-25,0.11
363,2016-08-25,0.08
364,2016-08-26,0.03
1532,2016-08-26,0.01
1195,2016-08-26,0.0
1012,2016-08-26,0.04
707,2016-08-26,0.02
3,2016-08-26,0.0
365,2016-08-27,0.18
1533,2016-08-27,0.12
4,2016-08-27,0.0
1196,2016-08-27,0.0
708,2016-08-27,0.02
1884,2016-08-27,
1534,2016-08-28,0.6
709,2016-08-28,0.14
5,2016-08-28,0.01
1197,2016-08-28,0.14
366,2016-08-28,0.14
1885,2016-08-28,2.07
6,2016-08-29,0.0
1013,2016-08-29,
710,2016-08-29,0.04
1198,2016-08-29,0.0
367,2016-08-29,0.17
1886,2016-08-29,0.9
1535,2016-08-29,0.35
1536,2016-08-30,0.0
1014,2016-08-30,0.02
368,2016-08-30,0.0
1887,2016-08-30,0.05
7,2016-08-30,0.0
1199,2016-08-30,0.0
369,2016-08-31,0.1
711,2016-08-31,
1537,2016-08-31,0.24
8,2016-08-31,0.13
1015,2016-08-31,
1888,2016-08-31,2.46
1200,2016-08-31,0.25
712,2016-09-01,0.0
1538,2016-09-01,0.02
9,2016-09-01,0.0
1016,2016-09-01,
1889,2016-09-01,0.01
370,2016-09-01,0.0
10,2016-09-02,0.0
1890,2016-09-02,0.03
371,2016-09-02,0.02
1201,2016-09-02,
1017,2016-09-02,
1539,2016-09-02,0.01
713,2016-09-02,0.19
1891,2016-09-03,1.0
1202,2016-09-03,0.08
1540,2016-09-03,0.12
11,2016-09-03,0.0
372,2016-09-03,0.07
373,2016-09-04,0.03
1541,2016-09-04,0.14
1203,2016-09-04,0.74
12,2016-09-04,0.03
1892,2016-09-04,0.44
1204,2016-09-05,0.02
1542,2016-09-05,0.03
374,2016-09-05,0.11
714,2016-09-05,
13,2016-09-05,
1893,2016-09-05,0.18
14,2016-09-06,
375,2016-09-06,0.05
1205,2016-09-06,0.03
1894,2016-09-06,1.0
1543,2016-09-06,0.11
715,2016-09-06,0.04
1544,2016-09-07,0.16
15,2016-09-07,0.05
1206,2016-09-07,0.11
376,2016-09-07,0.1
1895,2016-09-07,1.35
716,2016-09-07,0.23
1545,2016-09-08,0.07
1207,2016-09-08,0.01
1896,2016-09-08,0.15
377,2016-09-08,0.22
717,2016-09-08,0.01
1018,2016-09-08,
16,2016-09-08,0.0
1208,2016-09-09,0.23
1897,2016-09-09,0.35
718,2016-09-09,0.29
1019,2016-09-09,
378,2016-09-09,0.01
17,2016-09-09,0.03
1546,2016-09-09,0.16
18,2016-09-10,0.0
1209,2016-09-10,0.14
